date,y_hat
2025-07-02,19600.0
2025-07-03,19600.0
2025-07-04,19600.0
2025-07-05,19600.0
2025-07-06,19600.0
2025-07-07,19600.0
2025-07-08,19600.0
2025-07-09,19600.0
2025-07-10,19600.0
2025-07-11,19600.0
2025-07-12,19600.0
2025-07-13,19600.0
2025-07-14,19600.0
2025-07-15,19600.0
2025-07-16,19600.0
2025-07-17,19600.0
2025-07-18,19600.0
2025-07-19,19600.0
2025-07-20,19600.0
2025-07-21,19600.0
2025-07-22,19600.0
2025-07-23,19600.0
2025-07-24,19600.0
2025-07-25,19600.0
2025-07-26,19600.0
2025-07-27,19600.0
2025-07-28,19600.0
2025-07-29,19600.0
2025-07-30,19600.0
2025-07-31,19600.0
2025-08-01,19600.0
2025-08-02,19600.0
2025-08-03,19600.0
2025-08-04,19600.0
2025-08-05,19600.0
2025-08-06,19600.0
2025-08-07,19600.0
2025-08-08,19600.0
2025-08-09,19600.0
2025-08-10,19600.0
2025-08-11,19600.0
2025-08-12,19600.0
2025-08-13,19600.0
2025-08-14,19600.0
2025-08-15,19600.0
2025-08-16,19600.0
2025-08-17,19600.0
2025-08-18,19600.0
2025-08-19,19600.0
2025-08-20,19600.0
2025-08-21,19600.0
2025-08-22,19600.0
2025-08-23,19600.0
2025-08-24,19600.0
2025-08-25,19600.0
2025-08-26,19600.0
2025-08-27,19600.0
2025-08-28,19600.0
2025-08-29,19600.0
2025-08-30,19600.0
2025-08-31,19600.0
2025-09-01,19600.0
2025-09-02,19600.0
2025-09-03,19600.0
2025-09-04,19600.0
2025-09-05,19600.0
2025-09-06,19600.0
2025-09-07,19600.0
2025-09-08,19600.0
2025-09-09,19600.0
2025-09-10,19600.0
2025-09-11,19600.0
2025-09-12,19600.0
2025-09-13,19600.0
2025-09-14,19600.0
2025-09-15,19600.0
2025-09-16,19600.0
2025-09-17,19600.0
2025-09-18,19600.0
2025-09-19,19600.0
2025-09-20,19600.0
2025-09-21,19600.0
2025-09-22,19600.0
2025-09-23,19600.0
2025-09-24,19600.0
2025-09-25,19600.0
2025-09-26,19600.0
2025-09-27,19600.0
2025-09-28,19600.0
2025-09-29,19600.0
2025-09-30,19600.0
2025-10-01,19600.0
2025-10-02,19600.0
2025-10-03,19600.0
2025-10-04,19600.0
2025-10-05,19600.0
2025-10-06,19600.0
2025-10-07,19600.0
2025-10-08,19600.0
2025-10-09,19600.0
2025-10-10,19600.0
2025-10-11,19600.0
2025-10-12,19600.0
2025-10-13,19600.0
2025-10-14,19600.0
2025-10-15,19600.0
2025-10-16,19600.0
2025-10-17,19600.0
2025-10-18,19600.0
2025-10-19,19600.0
2025-10-20,19600.0
2025-10-21,19600.0
2025-10-22,19600.0
2025-10-23,19600.0
2025-10-24,19600.0
2025-10-25,19600.0
2025-10-26,19600.0
2025-10-27,19600.0
2025-10-28,19600.0
2025-10-29,19600.0
